procuringEntity_name,monto_total,num_procesos
DIRECCION DISTRITAL 08D01-ESMERALDAS-ESMERALDAS-MTOP,11785534.85,44
HOSPITAL GENERAL MACHALA,11578443.24,182
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ESMERALDAS,11494144.67,47
Gob. Prov. del Cañar,11451286.24,189
EMPRESA PUBLICA DE INFRAESTRUCTURA Y VIALIDAD DE MANABI MANABI VIAL EP,11408651.79,69
GAD MUNICIPAL DE QUININDE,11216482.77,128
UNIVERSIDAD NACIONAL DE LOJA,11199140.57,123
EMPRESA PUBLICA - EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE AMBATO,11193889.18,181
GOBIERNO AUTONOMO DESCENTRALIZADO INTERCULTURAL Y PLURINACIONAL DEL MUNICIPIO DE CAYAMBE,11085153.45,170
HOSPITAL GENERAL IESS SANTO DOMINGO,11034934.75,304
UNIVERSIDAD TECNICA DE COTOPAXI ,11029020.09,139
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON QUEVEDO,10916147.13,363
EMPRESA PUBLICA MUNICIPAL DE ASEO DE CUENCA EMAC - EP,10862721.3,140
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE EL PANGUI,10772928.67,189
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,10726004.51,353
HOSPITAL DE ESPECIALIDADES PORTOVIEJO,10661423.02,117
ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,10650312.01,272
Fundacion Terminal Terrestre de Guayaquil,10594746.059999999,173
Empresa Publica del Agua EPA EP,10399282.67,53
SECRETARÍA TÉCNICA DE GESTIÓN INMOBILIARIA DEL SECTOR PÚBLICO,10306584.879999999,103
DIGMAT,10263067.91,54
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON MANTA,10184279.65,78
SERVICIO NACIONAL DE ADUANA DEL ECUADOR,10147842.959999999,28
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON OTAVALO,10044627.85,221
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON DURAN,9825087.48,155
COORDINACION ZONAL 4,9776802.28,708
UNIVERSIDAD DE CUENCA,9655028.05,300
EMPRESA PUBLICA METROPOLITANA DE LOGISTICA PARA LA SEGURIDAD Y LA CONVIVENCIA CIUDADANA EP,9591765.629999999,139
HONORABLE GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE CHIMBORAZO,9021902.87,139
UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI,8973355.38,237
GOBIERNO AUTÓNOMO DESCENTRALIZADO DEL CANTÓN GUARANDA,8834108.59,88
Universidad Tecnica de Machala,8825405.11,250
GOBIERNO MUNICIPAL DEL CANTON EL CARMEN,8815901.67,212
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE TULCÁN,8780335.29,105
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON MUISNE,8653178.860000001,37
MUNICIPIO DE MORONA,8623752.4,127
HOSPITAL GENERAL GUASMO SUR,8600407.0,128
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SANTA CRUZ,8581868.52,46
EMPRESA PUBLICA DE MOVILIDAD TRANSITO Y TRANSPORTE DE CUENCA,8457455.41,153
HOSPITAL GENERAL - PORTOVIEJO,8448466.81,315
MUNICIPIO DE CHONE,8421154.2,75
GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA BOLIVAR,8320782.89,82
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON LA CONCORDIA,8206092.74,106
HOSPITAL VICENTE CORRAL MOSCOSO,8198349.45,378
"SECRETARIA DE EDUCACION SUPERIOR, CIENCIA, TECNOLOGIA E INNOVACION",8131292.56,105
HOSPITAL GENERAL RIOBAMBA,8119290.1,249
Municipio de Urdaneta,8048410.149999999,26
"CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA ""MARIA ROSA PARRA ARREAGA"" CCQA-HD SAMBORONDON",8016289.84,92
GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SHUSHUFINDI,7885285.74,173
UNIVERSIDAD TECNICA DE BABAHOYO,7828761.29,103
Universidad Técnica de Manabí,7726883.890000001,130
DIRECCION GENERAL DE AVIACION CIVIL,7604273.37,80
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE YANTZAZA,7588170.92,241
SECRETARIA NACIONAL DE GESTION DE RIESGOS,7514818.72,103
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN SUCÚA,7476033.19,62
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE TAISHA,7462917.45,216
BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL  ,7462067.21,204
Gobierno Municipal de Arajuno,7445922.78,219
CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) EFREN JURADO LOPEZ,7425607.69,187
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON HUAQUILLAS,7422743.319999999,251
HOSPITAL GENERAL- SAN FRANCISCO,7422277.82,214
MUNICIPIO DEL CANTON PASAJE,7406422.35,228
COORDINACION ZONAL DE EDUCACION ZONA 2,7356000.89,431
MUNICIPIO DE MILAGRO,7309274.859999999,142
HOSPITAL PROVINCIAL GENERAL PABLO ARTURO SUAREZ,7287483.76,168
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SUR VALDIVIA,7281866.7,96
"EMPRESA PÚBLICA MUNICIPAL MANCOMUNADA DE AGUA POTABLE, ALCANTARILLADO SANITARIO Y PLUVIAL Y DEPURACION Y APROVECHAMIENTO DE AGUAS RESIDUALES SANEAMIENTO AGUAPEN-EP",7273346.54,55
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON PLAYAS,7135593.18,33
MUNICIPALIDAD DEL CANTON VALENCIA  ,7065596.4399999995,434
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SIGSIG,7025995.06,113
DIRECCION DE MOVILIZACION DEL COMANDO CONJUNTO DE LAS FUERZAS ARMADAS,6966415.86,20
MINISTERIO DE RELACIONES EXTERIORES,6959379.51,74
"CENTRO MEDICO FAMILIAR INTEGRAL Y ESPECIALIDADES, DIALISIS LA MARISCAL",6901139.63,285
HOSPITAL DEL NIÑO FY,6876475.26,79
HOSPITAL DE ESPECIALIDADES QUITO NO.1 DE LA POLICIA NACIONAL DEL ECUADOR,6820994.97,79
GOBIERNO MUNICIPAL DE QUIJOS,6779386.92,70
EMPRESA PUBLICA DE ESMERALDAS CONSTRUYE SU DESARROLLO,6770793.96,9
GOBIERNO MUNICIPAL DE CUYABENO,6748765.62,23
GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE SANTA ELENA,6718667.63,86
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LA LIBERTAD,6631819.82,235
GOBIERNO MUNICIPAL DE ARCHIDONA,6588944.83,44
HOSPITAL GENERAL LATACUNGA,6586152.85,335
HOSPITAL GENERAL DOCENTE DE CALDERON,6545475.67,112
MUNICIPIO DE BUENA FE,6530733.7299999995,163
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CAMILO PONCE ENRIQUEZ,6526835.43,44
HOSPITAL GENERAL ENRIQUE GARCES,6441449.22,163
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE EL GUABO,6429319.23,65
DIRECCION NACIONAL DE ATENCION INTEGRAL EN SALUD PLANTA CENTRAL,6351777.9,319
HOSPITAL GÍNECO OBSTÉTRICO PEDIÁTRICO DE NUEVA AURORA LUZ ELENA ARISMENDI,6327096.86,183
GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON CENTINELA DEL CONDOR,6254900.87,154
Gobierno Municipal de San Jacinto de Yaguachi,6144853.37,249
CONTRALORIA GENERAL DEL ESTADO,6143388.6,273
HOSPITAL GENERAL MANUEL YGNACIO MONTEROS,6140272.99,268
Hospital General Dr. Enrique Ortega Moreira,6124912.859999999,20
"Guayaquil Siglo XXI, Fundación Municipal para la Regeneración Urbana",5995033.12,51
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ANTONIO ANTE,5984305.31,225
HOSPITAL GENERAL - AMBATO,5950867.32,172
UNIVERSIDAD REGIONAL AMAZÓNICA IKIAM,5858283.8,213
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SANTIAGO,5761508.61,99
EMPRESA ELECTRICA PROVINCIAL COTOPAXI S.A.,5728095.14,27
SUBSECRETARIA DE EDUCACION DEL DISTRITO METROPOLITANO DE QUITO,5720207.38,408
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BAÑOS DE AGUA SANTA,5717493.17,112
HOSPITAL GENERAL IBARRA,5659496.8,233
HOSPITAL GENERAL FRANCISCO DE ORELLANA,5627621.61,126
HOSPITAL BASICO - DURAN,5626107.96,199
"EMPRESA PUBLICA MUNICIPAL DE TRANSITO Y MOVILIDAD DE GUAYAQUIL, E.P.",5623949.44,68
CUERPO DE BOMBEROS DE AMBATO,5616211.29,78
ESCUELA POLITÉCNICA NACIONAL,5569168.74,144
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL Y PLURINACIONAL DEL CANTON PALORA,5445789.2,148
MINISTERIO DE PRODUCCION COMERCIO EXTERIOR E INVERSIONES,5432014.47,58
Benemérito Cuerpo de Bomberos Voluntarios de Cuenca,5412898.94,165
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SALCEDO,5383457.61,314
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON NARANJAL GADMCN,5369528.68,159
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA NORTE-TARQUI,5351231.33,206
GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON NANGARITZA,5348279.73,34
SERVICIO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,5310936.07,90
DIRECCION DISTRITAL 13D01 - PORTOVIEJO - MANABI -MTOP,5310777.239999999,8
GAD MUNICIPAL DE GUALAQUIZA,5284050.399999999,159
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SIMON BOLIVAR,5279097.46,101
DIRECCIÓN ZONAL ZONA 8 - SECRETARIA TÉCNICA DE GESTIÓN INMOBILIARIA DEL SECTOR PÚBLICO,5277603.13,40
JUNTA PARROQUIAL SAN VICENTE DE HUATICOCHA,5228627.15,59
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON JIPIJAPA,5204522.050000001,143
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON GUANO,5194900.64,448
GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PENIPE,5149859.85,211
Consejo de la Judicatura,5144506.97,165
