mes,mes_numero,provincia,monto_total,num_procesos
marzo,3,Santo Domingo de los Tsáchilas,2022793.47,218
marzo,3,Sucumbíos,3113028.9,290
marzo,3,Tungurahua,6835854.9,843
marzo,3,Zamora Chinchipe,5403257.6,603
mayo,5,Azuay,26099804.13,1050
mayo,5,Bolívar,4583728.17,271
mayo,5,Carchi,1663920.68,331
mayo,5,Cañar,7197662.73,332
mayo,5,Chimborazo,10893511.89,721
mayo,5,Cotopaxi,2979714.18,296
mayo,5,Desconocido,1722.04,15
mayo,5,El Oro,25294675.89,705
mayo,5,Esmeraldas,25539963.29,335
mayo,5,Galápagos,968009.67,75
mayo,5,Guayas,70955988.12,1815
mayo,5,Imbabura,11961397.09,783
mayo,5,Loja,8927960.5,739
mayo,5,Los Ríos,8610231.78,837
mayo,5,Manabí,24398159.68,995
mayo,5,Morona Santiago,7505977.09,494
mayo,5,Napo,17342707.08,489
mayo,5,Orellana,4541724.2,103
mayo,5,Pastaza,4542917.96,510
mayo,5,Pichincha,171746018.53,4095
mayo,5,Santa Elena,914476.25,38
mayo,5,Santo Domingo de los Tsáchilas,1163736.05,162
mayo,5,Sucumbíos,11071586.209999999,399
mayo,5,Tungurahua,8879524.66,578
mayo,5,Zamora Chinchipe,3982145.69,394
noviembre,11,Azuay,20798711.13,782
noviembre,11,Bolívar,2395758.69,292
noviembre,11,Carchi,1925281.31,185
noviembre,11,Cañar,2299243.96,295
noviembre,11,Chimborazo,10185761.04,546
noviembre,11,Cotopaxi,9283130.17,453
noviembre,11,El Oro,19880700.82,577
noviembre,11,Esmeraldas,9400304.52,344
noviembre,11,Galápagos,682972.27,19
noviembre,11,Guayas,93972805.83,1260
noviembre,11,Imbabura,8670024.33,551
noviembre,11,Loja,9204265.97,464
noviembre,11,Los Ríos,16694532.19,244
noviembre,11,Manabí,63256306.23,776
noviembre,11,Morona Santiago,5509577.14,188
noviembre,11,Napo,29968604.28,559
noviembre,11,Orellana,3918113.53,145
noviembre,11,Pastaza,9755650.040000001,380
noviembre,11,Pichincha,231573405.84,4190
noviembre,11,Santa Elena,1057328.74,64
noviembre,11,Santo Domingo de los Tsáchilas,1323004.23,190
noviembre,11,Sucumbíos,2808692.18,160
noviembre,11,Tungurahua,9832123.31,431
noviembre,11,Zamora Chinchipe,9024855.57,186
octubre,10,Azuay,23693651.51,759
octubre,10,Bolívar,2853614.63,223
octubre,10,Carchi,4471596.52,240
octubre,10,Cañar,2678015.31,272
octubre,10,Chimborazo,9388609.7,602
octubre,10,Cotopaxi,3784812.39,153
octubre,10,El Oro,13350150.450000001,403
octubre,10,Esmeraldas,11473744.69,227
octubre,10,Galápagos,2985403.01,14
octubre,10,Guayas,104273123.06,1439
octubre,10,Imbabura,12718577.58,434
octubre,10,Loja,5751024.54,352
octubre,10,Los Ríos,19546254.86,320
octubre,10,Manabí,31953956.09,545
octubre,10,Morona Santiago,9666048.52,414
octubre,10,Napo,14591313.99,332
octubre,10,Orellana,577222.73,77
octubre,10,Pastaza,6923658.7299999995,275
octubre,10,Pichincha,197863268.01,4412
octubre,10,Santa Elena,249024.69,136
octubre,10,Santo Domingo de los Tsáchilas,3862268.75,177
octubre,10,Sucumbíos,5556514.3,173
octubre,10,Tungurahua,13263528.65,627
octubre,10,Zamora Chinchipe,3833793.96,206
septiembre,9,Azuay,13243592.0,557
septiembre,9,Bolívar,1808151.34,116
septiembre,9,Carchi,10934267.91,214
septiembre,9,Cañar,2114697.76,208
septiembre,9,Chimborazo,11570690.45,636
septiembre,9,Cotopaxi,3557660.77,275
septiembre,9,El Oro,9552743.31,504
